index,instance,width_bound,heuristic,random_seed,tw,msss,score,log_likelihood,reasoning_time
249,hailfinder-5000,40,kmax,1,6,7128.0,-252374.798,-49.411024643731515,0.02207979679107666
250,diabetes-5000,40,kmax,1,6,3326400.0,-2271437.016,-409.8966330274888,7.203946084976196
251,child-5000,40,kmax,1,8,38880.0,-62059.503,-12.226682146119426,0.020793039798736573
252,barley-5000,40,kmax,1,5,2026080.0,-294944.952,-52.398346134361674,1.7497315073013306
253,alarm-5000,40,kmax,1,15,35831808.0,-53781.339,-10.415376396591016,5.535234112739563
254,water-5000,40,kg,5,6,5184.0,-65865.813,-12.94633297885034,0.016999969482421873
255,survey-5000,40,kg,5,1,6.0,-19710.916,-3.931762627574588,0.0063695073127746586
256,sachs-5000,40,kg,5,5,729.0,-36511.41,-7.1625360002157334,0.01100379467010498
257,pigs-5000,40,kg,5,12,1594323.0,-1842648.317,-362.67225467400175,14.25215129852295
258,munin1-5000,40,kg,5,12,184320000.0,-243115.358,-43.98532166333635,
259,link-5000,40,kg,5,11,16777216.0,-1636598.488,-317.45853306524765,71.9282594704628
260,insurance-5000,40,kg,5,11,2211840.0,-68053.141,-13.171643550104314,0.18590270042419432
261,hepar2-5000,40,kg,5,10,24576.0,-164459.521,-32.648885402805874,0.09518033504486084
262,hailfinder-5000,40,kg,5,10,4105728.0,-252373.543,-49.411276551150785,2.326233603954315
263,barley-5000,40,kg,5,9,207360000.0,-295038.467,-52.38053505294289,
264,child-5000,40,kg,5,6,4860.0,-62059.503,-12.226682146119426,0.014145472049713136
265,water-5000,40,kg,4,3,256.0,-65865.813,-12.946334060412806,0.014439873695373535
266,alarm-5000,40,kg,5,9,55296.0,-53781.339,-10.415376396591016,0.05154263734817505
267,survey-5000,40,kg,4,3,24.0,-19710.916,-3.931762627574588,0.007201790809631348
268,sachs-5000,40,kg,4,4,243.0,-36511.41,-7.1625360002157334,0.011538991928100586
269,pathfinder-5000,40,kg,4,13,19660800.0,-150664.026,-26.854261035651614,48.83710177659989
270,link-5000,40,kg,4,11,2097152.0,-1638291.005,-319.01516424507173,8.478144385814666
271,insurance-5000,40,kg,4,9,204800.0,-68053.141,-13.171643550104314,0.04970864534378052
272,hepar2-5000,40,kg,4,13,55296.0,-164448.686,-32.660158698315406,0.1903961730003357
273,hailfinder-5000,40,kg,4,9,641520.0,-252403.455,-49.411388384393405,2.165157289505005
274,child-5000,40,kg,4,8,17280.0,-62059.503,-12.226682146119426,0.014223275184631347
275,barley-5000,40,kg,4,8,142560000.0,-294944.952,-52.398346134361674,
276,alarm-5000,40,kg,4,12,1990656.0,-53781.339,-10.415376400626045,0.49317628622055054
277,water-5000,40,kg,3,3,192.0,-65865.813,-12.946418827835368,0.014827022552490236
278,survey-5000,40,kg,3,3,24.0,-19710.916,-3.931762627574588,0.007890605926513672
