index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
1034,munin1,10,3,2,-266975.896,60,50,46
1035,cancer,5,2,1,-10582.736,60,5,4
1036,win95pts,10,3,3,-59556.395,final,50,39
1037,munin1,50,3,1,-352372.203,final,250,172
1038,link,25,3,1,-1671527.425,30,125,107
1039,munin4,25,1,3,-1091938.789,60,125,114
1040,win95pts,25,1,1,-71155.581,60,125,72
1041,win95pts,50,2,3,-81303.605,60,250,132
1042,munin3,25,1,2,-947237.261,30,125,116
1043,munin4,50,3,1,-1113538.923,30,250,221
1044,andes,50,2,3,-542000.469,60,250,147
1045,win95pts,50,3,3,-83778.992,30,250,125
1046,alarm,5,3,1,-57244.342,60,25,23
1047,insurance,5,2,3,-76084.858,60,25,24
1048,munin,75,1,3,-1167810.863,30,375,309
1049,win95pts,50,3,1,-82787.709,final,250,125
1050,water,10,1,3,-74556.843,30,50,29
1051,andes,50,1,1,-544500.769,final,250,158
1052,munin,50,1,1,-1123519.76,30,250,232
