index,instance,numcons,conseed,blipseed,score,ts
1801,andes,10,1,3,-510812.0158,133.8
1802,andes,10,1,3,-509915.312,373.1
1803,andes,10,1,3,-509057.5204,503.0
1804,andes,10,1,3,-508494.9363,1389.5
1805,andes,10,1,3,-508051.8855,1871.9
1806,win95pts,25,1,1,-75838.9898,0.3
1807,win95pts,25,1,1,-73923.3617,0.3
1808,win95pts,25,1,1,-72725.3536,0.4
1809,win95pts,25,1,1,-72486.1166,1.7
1810,win95pts,25,1,1,-72277.6832,12.0
1811,win95pts,25,1,1,-71908.6137,15.0
1812,win95pts,25,1,1,-71855.6513,18.3
1813,win95pts,25,1,1,-71514.5224,213.2
1814,win95pts,25,1,1,-71388.4881,464.5
1815,win95pts,25,1,1,-71250.4657,497.5
1816,win95pts,25,1,1,-71218.1067,565.4
1817,win95pts,25,1,1,-71179.2825,1107.9
1818,win95pts,25,1,1,-71155.5808,3100.9
1819,win95pts,25,2,3,-77184.2914,0.2
1820,win95pts,25,2,3,-77057.1818,0.4
1821,win95pts,25,2,3,-76995.9762,0.7
1822,win95pts,25,2,3,-76783.4488,0.8
1823,win95pts,25,2,3,-76519.2555,6.4
1824,win95pts,25,2,3,-76509.0879,18.8
1825,win95pts,25,2,3,-76464.0576,25.2
1826,win95pts,25,2,3,-76320.2443,53.2
1827,andes,10,3,1,-514861.6842,0.6
1828,andes,10,3,1,-512896.286,8.5
1829,andes,10,3,1,-512834.5085,124.7
1830,andes,10,3,1,-512366.3281,150.3
1831,munin,25,3,1,-1106836.2838,1.2
1832,munin3,75,3,3,-1002866.0092,2.9
1833,andes,50,1,3,-549473.4985,0.6
1834,andes,50,1,3,-549160.7599,1.3
1835,andes,50,1,3,-547366.4711,2.0
1836,andes,50,1,3,-546954.4891,49.6
1837,andes,50,1,3,-544154.5506,2867.6
1838,barley,10,3,1,-351869.9439,0.1
1839,barley,10,3,1,-346929.0325,0.2
