index,instance,conseed,numcons,blipseed,score,num_constraints,num_satisfied
403,pathfinder,2,25,2,-152453.137,125,72
404,pathfinder,3,50,2,-152453.137,250,152
405,pathfinder,1,10,2,-152453.137,50,27
406,pathfinder,1,25,2,-152453.137,125,80
407,pathfinder,3,25,2,-152453.137,125,75
408,pathfinder,2,10,2,-152453.137,50,29
409,pathfinder,3,10,2,-152453.137,50,31
410,pathfinder,2,50,2,-152453.137,250,149
411,win95pts,1,10,3,-49094.688,50,29
412,win95pts,3,50,3,-49094.688,250,153
413,win95pts,1,25,3,-49094.688,125,72
414,win95pts,1,50,3,-49094.688,250,145
415,win95pts,3,10,3,-49094.688,50,29
416,win95pts,2,25,3,-49094.688,125,73
417,win95pts,2,50,3,-49094.688,250,157
418,win95pts,3,25,3,-49094.688,125,76
419,win95pts,2,10,3,-49094.688,50,30
420,munin2,3,25,1,-929949.922,125,69
421,munin2,2,50,1,-929949.922,250,142
422,munin2,1,75,1,-929949.922,375,210
423,munin2,1,25,1,-929949.922,125,74
424,munin2,1,50,1,-929949.922,250,138
425,munin2,3,75,1,-929949.922,375,212
426,munin2,2,75,1,-929949.922,375,215
427,munin2,2,25,1,-929949.922,125,73
428,munin2,3,50,1,-929949.922,250,134
429,link,2,50,3,-1647334.646,250,149
430,link,1,75,3,-1647334.646,375,220
431,link,1,50,3,-1647334.646,250,141
432,link,2,25,3,-1647334.646,125,70
433,link,3,25,3,-1647334.646,125,68
434,link,3,75,3,-1647334.646,375,216
435,link,1,25,3,-1647334.646,125,73
436,link,3,50,3,-1647334.646,250,143
437,link,2,75,3,-1647334.646,375,222
438,diabetes,1,50,1,-2285350.855,250,141
439,diabetes,1,10,1,-2285350.855,50,29
440,diabetes,2,50,1,-2285350.855,250,137
441,diabetes,3,50,1,-2285350.855,250,135
442,diabetes,1,25,1,-2285350.855,125,65
443,diabetes,2,10,1,-2285350.855,50,28
444,diabetes,3,25,1,-2285350.855,125,75
445,diabetes,3,10,1,-2285350.855,50,33
446,diabetes,2,25,1,-2285350.855,125,62
447,pigs,3,75,1,-1873413.848,375,255
448,pigs,3,25,1,-1873413.848,125,87
449,pigs,2,50,1,-1873413.848,250,165
450,pigs,1,50,1,-1873413.848,250,172
451,pigs,2,25,1,-1873413.848,125,86
452,pigs,3,50,1,-1873413.848,250,169
453,pigs,1,75,1,-1873413.848,375,255
454,pigs,2,75,1,-1873413.848,375,243
455,pigs,1,25,1,-1873413.848,125,86
456,munin,2,25,3,-1071753.713,125,68
457,munin,2,75,3,-1071753.713,375,199
458,munin,2,50,3,-1071753.713,250,129
459,munin,3,25,3,-1071753.713,125,69
460,munin,1,75,3,-1071753.713,375,199
461,munin,1,25,3,-1071753.713,125,66
462,munin,1,50,3,-1071753.713,250,127
463,munin,3,50,3,-1071753.713,250,131
464,munin,3,75,3,-1071753.713,375,206
465,hepar2,3,50,3,-164588.043,230,164
466,hepar2,1,50,3,-164588.043,230,157
467,hepar2,1,10,3,-164588.043,50,33
468,hepar2,3,25,3,-164588.043,125,83
469,hepar2,1,25,3,-164588.043,125,94
470,hepar2,2,50,3,-164588.043,230,156
471,hepar2,2,10,3,-164588.043,50,33
472,hepar2,3,10,3,-164588.043,50,34
473,hepar2,2,25,3,-164588.043,125,88
474,andes,2,10,2,-500285.908,50,28
475,andes,1,10,2,-500285.908,50,34
476,andes,1,25,2,-500285.908,125,76
477,andes,3,50,2,-500285.908,250,148
478,andes,2,25,2,-500285.908,125,67
479,andes,3,10,2,-500285.908,50,32
480,andes,3,25,2,-500285.908,125,76
481,andes,2,50,2,-500285.908,250,154
482,andes,1,50,2,-500285.908,250,155
483,pigs,3,75,3,-1873439.561,375,240
484,pigs,3,25,3,-1873439.561,125,84
485,pigs,2,50,3,-1873439.561,250,170
486,pigs,1,50,3,-1873439.561,250,170
487,pigs,2,25,3,-1873439.561,125,78
488,pigs,3,50,3,-1873439.561,250,173
489,pigs,1,75,3,-1873439.561,375,253
490,pigs,2,75,3,-1873439.561,375,261
491,pigs,1,25,3,-1873439.561,125,84
492,water,2,5,3,-65901.13,25,14
493,water,2,10,3,-65901.13,50,32
494,water,1,5,3,-65901.13,25,14
495,water,3,10,3,-65901.13,50,35
496,water,3,5,3,-65901.13,25,18
497,water,1,10,3,-65901.13,50,32
498,hailfinder,1,25,2,-252906.8,125,86
499,hailfinder,3,50,2,-252906.8,160,106
500,hailfinder,3,25,2,-252906.8,125,79
501,hailfinder,2,10,2,-252906.8,50,34
502,hailfinder,2,25,2,-252906.8,125,81
503,hailfinder,3,10,2,-252906.8,50,31
504,hailfinder,1,50,2,-252906.8,160,104
505,hailfinder,1,10,2,-252906.8,50,32
506,hailfinder,2,50,2,-252906.8,160,105
507,andes,2,10,3,-500370.477,50,30
508,andes,1,10,3,-500370.477,50,28
509,andes,1,25,3,-500370.477,125,76
510,andes,3,50,3,-500370.477,250,151
511,andes,2,25,3,-500370.477,125,71
512,andes,3,10,3,-500370.477,50,27
513,andes,3,25,3,-500370.477,125,68
514,andes,2,50,3,-500370.477,250,152
515,andes,1,50,3,-500370.477,250,140
516,alarm,2,5,3,-54504.425,25,20
517,alarm,3,10,3,-54504.425,50,32
518,alarm,1,5,3,-54504.425,25,20
519,alarm,2,10,3,-54504.425,50,36
520,alarm,1,10,3,-54504.425,50,36
521,alarm,3,5,3,-54504.425,25,17
522,barley,3,10,3,-299639.099,50,32
523,barley,3,5,3,-299639.099,25,16
524,barley,2,5,3,-299639.099,25,15
525,barley,1,5,3,-299639.099,25,16
526,barley,2,10,3,-299639.099,50,28
527,barley,1,10,3,-299639.099,50,34
528,asia,2,5,2,-11445.385,15,15
529,asia,1,5,2,-11445.385,15,15
530,asia,3,5,2,-11445.385,15,15
531,asia,2,10,2,-11445.385,15,15
532,asia,1,10,2,-11445.385,15,15
533,asia,3,10,2,-11445.385,15,15
534,hepar2,3,50,1,-164588.705,230,174
535,hepar2,1,50,1,-164588.705,230,165
536,hepar2,1,10,1,-164588.705,50,36
537,hepar2,3,25,1,-164588.705,125,89
538,hepar2,1,25,1,-164588.705,125,92
539,hepar2,2,50,1,-164588.705,230,161
540,hepar2,2,10,1,-164588.705,50,34
541,hepar2,3,10,1,-164588.705,50,37
542,hepar2,2,25,1,-164588.705,125,89
543,water,2,5,2,-65895.277,25,13
544,water,2,10,2,-65895.277,50,33
545,water,1,5,2,-65895.277,25,16
546,water,3,10,2,-65895.277,50,34
547,water,3,5,2,-65895.277,25,16
548,water,1,10,2,-65895.277,50,32
